,local,id,out,in,type,quantity,limit,tax,fee,opened,closed,
replacewithplica,bittrex,bfa31c6b-e8f5-4b1e-8d93-9f483eaaa8c2,BTC,PART,LIMIT_BUY,0.8,0.00177648,0.00000355,0.0014211,9/26/2017 9:14:18 AM,9/26/2017 9:14:19 AM,replacewithplicaplus
replacewithplica,bittrex,353bbe54-f5f9-49c2-93dd-01aebfdfa18c,BTC,LTC,LIMIT_BUY,1,0.01334989,0.00003337,0.01334988,9/27/2017 1:13:17 PM,9/27/2017 1:13:29 PM,replacewithplicaplus
replacewithplica,bittrex,73be419a-3f40-470e-9ecc-ca874bfc50f0,BTC,COVAL,LIMIT_BUY,498.75,0.000001,0.00000124,0.00049875,10/7/2017 13:27:05,10/7/2017 13:33:26,replacewithplicaplus
replacewithplica,bittrex,aa10eb5e-b8b3-4503-b9a3-4db047352ec8,BTC,OMG,LIMIT_BUY,0.26648769,0.001909,0.00000126,0.00050792,10/7/2017 13:31:24,10/7/2017 13:31:25,replacewithplicaplus
replacewithplica,bittrex,986c8df9-e232-46d2-827e-a2af15c66f03,BTC,ADA,LIMIT_BUY,102.8350516,0.00000485,0.00000124,0.00049669,10/7/2017 13:30:27,10/7/2017 13:30:27,replacewithplicaplus
replacewithplica,bittrex,d45efb3f-dbd5-416d-af62-c6f87f0e6c72,BTC,RDD,LIMIT_BUY,2267.045455,0.00000022,0.00000124,0.00049875,10/7/2017 13:26:12,10/8/2017 18:39:33,replacewithplicaplus
replacewithplica,bittrex,719155e1-6062-45d9-9b21-421de37edbb4,BTC,XLM,LIMIT_BUY,100.3521127,0.00000497,0.00000124,0.00049875,10/7/2017 13:22:50,10/7/2017 13:33:26,replacewithplicaplus
replacewithplica,bittrex,5119e4b4-fa3a-44d2-a13e-61afdab36b6b,BTC,OK,LIMIT_BUY,50,0.000049,0.00000612,0.00245,10/6/2017 20:14:40,10/6/2017 20:14:41,replacewithplicaplus
replacewithplica,bittrex,2a52155b-7581-4710-a772-cd755f8085fe,BTC,NEO,LIMIT_SELL,1.00234257,0.00772447,0.00001935,0.00774309,10/5/2017 13:52:53,10/5/2017 13:52:53,replacewithplicaplus
replacewithplica,bittrex,71228e7e-27e5-4611-836e-375fa640c98f,BTC,OK,LIMIT_BUY,22.59387437,0.00006392,0.00000361,0.0014442,10/2/2017 11:38:07,10/2/2017 11:38:07,replacewithplicaplus
